key,en,fr,it,de,es,tr,tl,ru,ja,pt-br,tok,mis-edikan,mis-meow
Phases.PostResults.Description,Viewing the results of the post jam and how you were rated compared to the jam,,Visualizzare i risultati post-jam e come si è stati valutati rispetto alla jam,,,Post Jam sonuçlarını görüntüle ve normal jam'le karşılaştırma,,Посмотрите результаты с пост джема и ваш рейтинг в сравнении с джемом,,Vendo os resultados do pós jam e como você foi avaliado comparado à versão jam,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow
PostTags.All,All Tags,,Tutti i tag,,,Bütün Etiketler,,Все Теги,,Todos Marcadores,,,Meow meow
PostTags.Custom,Custom Tags,,Tag personalizzati,,,Kişisel Etkietler,,Кастомные Теги,,Marcadores Customizados,,,Meow meow
PostTags.Filtering,Tag Filtering,,Filtro per tag,,,Etiket Filtreleme,,Фильтрация по Тегам,,Filtro por Marcadores,,,Meow meow
PostCard.Copy.Title,Copy Link,,Copia link,,,Bağlantıyı Kopyala,,Скопировать Ссылку,,Copiar Link,,,Meow meow
PostCard.Copy.Description,Copy the post link to your clipboard,,Copia il link al post negli appunti,,,Gönderi bağlantısını panoya kopyala,,Скопировать ссылку поста в буфер обмена,,Copiar o link da postagem para sua área de transferência,,,Meow meow meow meow meow meow meow
PostCard.Copy.Success,Copied Link,,Link copiato,,,Bağlantı kopyalandı,,Ссылка Скопирована,,Link Copiado,,,Meow meow
PostCard.Delete.Title,Delete,,Elimina,,,Sil,,Удалить,,Deletar,,,Meow
PostCard.Delete.Description,Delete your post,,Elimina il tuo post,,,Gönderiyi sil,,Удалите ваш пост,,Deleta sua postagem,,,Meow meow meow
PostCard.Delete.Success,Deleted post,,Post eliminato,,,Gönderi silindi,,Пост удален,,Postagem Deletada,,,Meow meow
PostCard.Delete.Error,Error while deleting post,,Errore nell'eliminazione del post,,,Gönderi silinirken bir hata oluştu,,Ошибка удаления поста,,Erro durante deletação da postagem,,,Meow meow meow meow
PostCard.Remove.Title,Remove,,Rimuovi,,,Kaldır,,Убрать,,Remover,,,Meow
PostCard.Remove.Description,Remove this post,,Rimuovi questo post,,,Bu gönderiyi kaldır,,Уберите этот пост,,Remover essa postagem,,,Meow meow meow
PostCard.Remove.Success,Removed post,,Post rimosso,,,Gönderi kaldırıldı,,Убрали пост,,Postagem Removida,,,Meow meow
PostCard.Remove.Error,Error while removing post,,Errore nella rimozione del post,,,Gönderi kaldırılırken bir hata oluştu,,Ошибка при убирании поста,,Erro durante remoção da postagem,,,Meow meow meow meow
PostCard.Unsticky.Title,Unsticky,,Non fissare più,,,Yapışkanı Kaldır,,Открепить,,Desfixar,,,Meow
PostCard.Unsticky.Description,Unsticky post,,Non fissare più in alto il post,,,Gönderinin yapışkanını kaldır,,Открепить пост,,Desfixar postagem,,,Meow meow
PostCard.Unsticky.Success,Unsticked post,,Post non più fissato in alto,,,Yapışkanlık kaldırıldı,,Открепили пост,,Postagem Desfixada,,,Meow meow
PostCard.Unsticky.Error,Error while unstickying post,,Errore nel non fissare più in alto il post,,,Yapışkanlık kaldırılırken bir hata oluştu,,Ошибка открепления поста,,Erro durante desfixagem da postagem,,,Meow meow meow meow
PostCard.Sticky.Title,Sticky,,Fissa in alto,,,Yapışkan,,Закрепить,,Fixar,,,Meow
PostCard.Sticky.Description,Sticky post,,Fissa il post in alto,,,Gönderiyi yapışkan yap,,Закрепить пост,,Fixar postagem,,,Meow meow
PostCard.Sticky.Success,Stickied post,,Post fissato in alto,,,Gönderi yapışkan yapıldı,,Пост закреплен,,Postagem Fixada,,,Meow meow
PostCard.Sticky.Error,Error while stickying post,,Errore nel fissare in alto il post,,,Gönderiyi yapışkan yaparken bir hata oluştu,,Ошибка закрепления поста,,Erro durante fixagem da postagem,,,Meow meow meow meow
PostCard.Promote.Title,Appoint as mod,,Nomina moderatore,,,Mod'luğa yükselt,,Назначить модератором,,Eleger a moderador,,,Meow meow meow
PostCard.Promote.Description,Promote user to Mod,,Promuovi utente a moderatore,,,Kullanıcıyı mod yap,,Повысить пользователя до Модератора,,Promover usuário para moderador,,,Meow meow meow meow
PostCard.Promote.Success,Promoted User to Mod,,Utente promosso a moderatore,,,Kullanıcı mod yapıldı,,Повысили до Модератора,,Promovido Usuário para Moderador,,,Meow meow meow meow
PostCard.Promote.Error,Error while promoting user to Mod,,Errore nel promuovere a moderatore l'utente,,,Kullanıcı mod yapılırken bir hata oluştu,,Ошибка повышения до Модератора,,Erro durante promoção de usuário para Moderador,,,Meow meow meow meow meow meow
PostCard.Demote.Title,Remove as mod,,Rimuovi moderatore,,,Mod'luktan Çıkar,,Убрать как Модератора,,Remover moderador,,,Meow meow meow
PostCard.Demote.Description,Demote user from Mod,,Retrocedi utente da moderatore,,,Kullanıcıyı mod'luktan çıkar,,Понизить пользователя с Модератора,,Demover usuário de Moderador,,,Meow meow meow meow
PostCard.Demote.Success,Demoted User,,Utente retrocesso,,,Kullanıcı mod'luktan çıkarıldı,,Понизили Пользователя,,Usuário Demovido,,,Meow meow
PostCard.Demote.Error,Error while demoting user,,Errore nella retrocessione dell'utente,,,Kullanıcı mod'luktan çıkarılırken bir hata oluştu,,Ошибка понижения пользователя,,Erro durante demoção de usuário,,,Meow meow meow meow
PostCard.PromoteAdmin.Title,Appoint as admin,,Nomina amministratore,,,Yönetici yap,,Назначить Админом,,Eleger a administrador,,,Meow meow meow
PostCard.PromoteAdmin.Description,Promote user to Admin,,Promuovi utente ad amministratore,,,Kullanıcıyı yönetici yap,,Повысить пользователя до Админа,,Promover usuário para Administrador,,,Meow meow meow meow
PostCard.PromoteAdmin.Success,Promoted User to Admin,,Utente promosso ad amministratore,,,Kullanıcı yönetici yapıldı,,Повысили до Админа,,Promovido Usuário para Administrador,,,Meow meow meow meow
PostCard.PromoteAdmin.Error,Error while promoting user to Admin,,Errore nella promozione ad amministratore dell'utente,,,Kullanıcı yönetici yapılırken bir hata oluştu,,Ошибка повышения до Админа,,Erro durante promoção de usuário para Administrador,,,Meow meow meow meow meow meow
PostCard.DemoteAdmin.Title,Remove as admin,,Rimuovi amministratore,,,Yöneticiliği kaldır,,Убрать как Админа,,Remover administrador,,,Meow meow meow
PostCard.DemoteAdmin.Description,Demote user to mod,,Retrocedi utente a moderatore,,,Kullanıcının yöneticiliğini kaldır,,Понизить пользователя с Админа,,Demover usuário para Moderador,,,Meow meow meow meow
PostCard.DemoteAdmin.Success,Demoted User to Mod,,Utente retrocesso a moderatore,,,Kullanıcının yöneticiliği kaldırıldı,,Понизили Пользователя до Модератора,,Usuário Demovido para Moderador,,,Meow meow meow meow
PostCard.DemoteAdmin.Error,Error while demoting user to mod,,Errore nella retrocessione a moderatore dell'utente,,,Kullanıcının yöneticiliği kaldırırken bir hata oluştu,,Ошибка понижения пользователя до модератора,,Erro durante demoção de usuário para Moderador,,,Meow meow meow meow meow meow
PostCard.By,By,,Di,,,üyeler,,От,,Por,,,Meow
CreateGame.Create.Title,Create New Game,,Crea nuovo gioco,,,Yeni Oyun Yarat,,Создать Новую Игру,,Criar Novo Jogo,,,Meow meow meow
CreateGame.Create.Description,Create a new page for a game on the site,,Crea una pagina per un nuovo gioco sul sito,,,Sitede yeni bir oyun sayfası yarat,,Создайте новую страницу для игры на сайте,,Criar uma nova página para um jogo no site,,,Meow meow meow meow meow meow meow meow meow meow
CreateGame.Edit.Title,Edit Game,,Modifica gioco,,,Oyunu Düzenle,,Редактировать Игру,,Editar Jogo,,,Meow meow
CreateGame.Edit.Description,Edit the page for a game you've made,,Modifica la pagina di un tuo gioco,,,Oyununuzun sayfasını düzenleyin,,"Отредактируйте страницу игры, которую вы создали",,Editar a página do jogo que você fez,,,Meow meow meow meow meow meow meow'meow meow
CreateGame.Name.Title,Game Name,,Nome del gioco,,,Oyun İsmi,,Название Игры,,Nome do Jogo,,,Meow meow
CreateGame.Name.Description,The name your game is called,,Il nome del tuo gioco,,,Oyununuza verdiğiniz isim,,Как названа ваша игра,,O nome do seu jogo,,,Meow meow meow meow meow meow
CreateGame.Name.Placeholder,Enter your game name,,Inserisci il nome del gioco,,,Oyununuzun ismini girn,,Введите название вашей игры,,Digite o nome do jogo,,,Meow meow meow meow
CreateGame.Name.Error,Please enter a valid title,,Inserisci un titolo valido,,,Lütfen uygun bir başlık giriniz,,Пожалуйста введите приемлемое название,,Por favor digite um título válido,,,Meow meow meow meow meow
CreateGame.Slug.Title,Game Slug,,Slug del gioco,,,Oyun Slug'ı,,Slug Игры,,URL Customizado do Jogo,,,Meow meow
CreateGame.Slug.Description,This will be used in the URL:,,Questo verrà usato nell'URL:,,,Bu URL'nizde kullanılacak:,,Будет использоваться в URL ссылке:,,Isso será usado na URL:,,,Meow meow meow meow meow meow meow:
CreateGame.Slug.Placeholder,your-game-name,,nome-del-gioco,,,oyununuzun-ismi,,название-вашей-игры,,nome-do-jogo,,,Meow-meow-meow
CreateGame.Category.Title,Game Category,,Categoria del gioco,,,Oyun Kategorisi,,Категория Игры,,Categoria do Jogo,,,Meow meow
CreateGame.Category.Description,The category you are submitting your game to in the jam,,La categoria della jam in cui stai inserendo il tuo gioco,,,Oyunun yer alacağı jam kategorisi,,Категория в которой вы будете подавать игру на джем,,A categoria que você está enviando seu jogo no jam,,,Meow meow meow meow meow meow meow meow meow meow meow
CreateGame.Description.Title,Game Description,,Descrizione del gioco,,,Oyun Açıklaması,,Описание Игры,,Descrição do Jogo,,,Meow meow
CreateGame.Description.Description,The content of your game page. Visible when people look at your game,,Il contenuto della pagina del tuo gioco. Visibile quando gli altri visualizzano il tuo gioco,,,Oyun sayfanızın içerik kısmı,,"Контент страницы вашей игры. Видно, когда люди просматривают вашу игру",,O conteúdo da página do seu jogo. Visível quando as pessoas olham o seu jogo,,,Meow meow meow meow meow meow. Meow meow meow meow meow meow meow
CreateGame.Short.Title,Game Short,,Descrizione breve del gioco,,,Kısa Açıklama,,Краткое Описание,,Curta do Jogo,,,Meow meow
CreateGame.Short.Description,A short description that shows on the games page and when someone searches for you game (max 155 characters),,Una breve descrizione mostrata nella pagina dei giochi e nei risultati di ricerca (max 155 caratteri),,,Aramalarda ve başka yerlerde çıkan oyunun kısa açıklaması ( maks 155 karakter),,"Короткое описание, которое видно в списке игр и когда кто-то ищет вашу игру (макс. 155 символов)",,Uma descrição curta que aparece na página dos jogos e quando alguém pesquisa seu jogo (máx. 155 caractéres),,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow (meow meow meow)
CreateGame.Short.Placeholder,Enter a short description,,Inserisci una breve descrizione,,,Kısa bir açıklama girin,,Введите короткое описание,,Digite uma descrição curta,,,Meow meow meow meow
CreateGame.Theme.Title,Theme Justification,,Giustificazione del tema,,,Tema Kullanımı,,Обоснование Темы,,Justificação do Tema,,,Meow meow
CreateGame.Theme.Description,This will be shown to people as they rate you for theme. Why your game follows the theme,,Questo sarà mostrato alle persone quando ti valutano per il tema. Spiega perché il tuo gioco segue il tema,,,Bu açıklama diğer kullanıcılar sizin temanızı oylarken gsterilecek. Oyununuz temayı nasıl sağlıyor?,,"Будет видно людям, которые оценивают вашу игру. Причина почему ваша игра подходит по теме",,Isso aparece para as pessoas quando avalia-lo por tema. Como seu jogo segue o tema,,,Meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow
CreateGame.Theme.Placeholder,Enter a justification (optional),,Inserisci una giustificazione (opzionale),,,Tema kullanım açıklaması girin (opsiyonel),,Введите обоснование (опционально),,Digite uma justifição (opcional),,,Meow meow meow (meow)
CreateGame.Thumbnail.Title,Thumbnail,,Miniatura,,,Küçük resim,,Обложка,,Imagem,,,Meow
CreateGame.Thumbnail.Description,Shows when people are browsing through games (360x200),,Mostrata quando le persone sfogliano i giochi (360x200),,,Kullanıcıların oyunlara göz atarken görecekleri görsel (360x200),,Видно когда люди просматривают игры (360x200),,Aparece quando pessoas estão procurando entre os jogos (360x200),,,Meow meow meow meow meow meow meow (meow)
CreateGame.Banner.Title,Banner,,Banner,,,Afiş,,Баннер,,Faixa,,,Meow
CreateGame.Banner.Description,Shows on the game page and in search results (1468 x 240),,Mostrato nella pagina del gioco e nei risultati di ricerca (1468x240),,,Oyun sayfasında ve arama sonuçlarında gösterilir (1468 x 240),,Видно на странице игры и в результатах поиска (1468x240),,Aparece na página do jogo e nos resultados da pesquisa (1468 x 240),,,Meow meow meow meow meow meow meow meow meow (meow meow meow)
CreateGame.Links.Title,Links,,Link,,,Bağlantılar,,Ссылки,,Links,,,Meow
CreateGame.Links.Description,Upload your game to a hosting site (such as itch.io) and link it here for people to play on or download from,,Carica il tuo gioco su un sito di hosting (ad es. itch.io) e inserisci qui il link per permettere agli altri di giocare o scaricare,,,Oyununuzu bir depolama sayfasına yükleyin(mesela itch.io) ve buraya insanların oynayabilmesi için bağlantısını girin,,"Загрузите свою игру на сайт хостинга (вроде itch.io) и добавьте ссылку сюда, чтобы люди могли сыграть или скачать вашу игру ",,Faça upload do seu jogo em um site (como o itch.io) e adicione o link aqui para pessoas jogar ou baixar o jogo,,,Meow meow meow meow meow meow meow (meow meow meow.meow) meow meow meow meow meow meow meow meow meow meow meow meow
CreateGame.Links.Placeholder,https://example.com,,https://esempio.com,,,https://ornek.com,,https://example.com,,https://example.com,,,Meow://meow.meow
CreateGame.Links.Add,Add Link,,Aggiungi link,,,Bağlantı Ekle,,Добавить ссылку,,Adicionar Link,,,Meow meow
CreateGame.Links.Error,Please enter a valid URL starting with http:// or https://,,Inserisci un URL valido che inizi con http:// o https://,,,Lütfen uygun bir URL giriniz. http:// veya https:// ile başlamalı,,Пожалуйста вставьте действительную ссылку начинающуюся с http:// или https://,,Por favor digite uma URL válida começando com http:// ou https://,,,Meow meow meow meow meow meow meow meow:// meow meow://
CreateGame.Tags.Title,Tags,,Tag,,,Etiketler,,Тэги,,Marcadores,,,Meow
CreateGame.Tags.Description,"Tags for game engine, genre, etc. for people to filter by",,"Tag per motore di gioco, genere, ecc. usati dagli utenti per filtrare i giochi",,,"Filtrelerde çıkması için oyun motoru, genre, vb... gibi etiketler ekleyin.",,"Тэги для игрового движка, жанра и т.д. чтобы люди могли отфильтровать",,"Marcadores para motor de jogo, gênero, etc. para pessoas filtrarem",,,"Meow meow meow meow, meow, meow. Meow meow meow meow meow"
CreateGame.Flags.Title,Content Flags,,Avvisi sui contenuti,,,İçerik Uyarıları,,Флаги Контента,,Alertas de Conteúdo,,,Meow meow
CreateGame.Flags.Description,Warnings about what content your game contains,,Avvisi sul tipo di contenuti presenti nel tuo gioco,,,Oyununuzun içerebileceği şeyler konusunda uyarılar ekleyin,,"Предупреждение о том, что ваша игра содержит",,Avisos sobre conteúdos do seu jogo,,,Meow meow meow meow meow meow meow
CreateGame.RatingCategories.Title,Opt-In Rating Categories,,Categorie di valutazione facoltative,,,Kategori Seçimleri,,Дополнительные Категории,,Inclusão de Categorias de Avaliação,,,Meow-meow meow meow
CreateGame.RatingCategories.Description,Any optional categories you want to get a rating & rank in,,Categorie opzionali in cui vuoi ricevere valutazioni e classifiche,,,Oy almak ve sıralamaya girmek istediğiniz kategorileri seçin,,Любые опциональные категории в которых вы хотите получать оценки и рейтинг,,Quaisquer categorias opcionais que você quer ser availiado e ranqueado,,,Meow meow meow meow meow meow meow meow meow & meow meow
CreateGame.Leaderboards.Title,Leaderboards,,Classifiche,,,Skor Tabloları,,Таблица Рекордов,,Classificações,,,Meow
CreateGame.Leaderboards.Description,Leaderboards for people to submit high scores for your game (scores will be reported manually with pictures for evidence),,Classifiche in cui le persone possono inviare i punteggi migliori nel tuo gioco (i punteggi saranno segnalati manualmente con immagini come prova),,,İnsanların oyununuza yüksek skorları ekleyebildikleri skor tabloları. (skorlar resim yükleyerek beyan usulü eklenir),,"Таблицы рекордов, куда игроки смогут отправлять свои лучшие результаты для вашей игры (очки будут проверяться вручную по присланным скриншотам)",,Classificações para pessoas enviarem pontuações para seu jogo (pontuações serão adicionadas manualmente com fotos como prova),,,Meow meow meow meow meow meow meow meow meow meow (meow meow meow meow meow meow meow meow meow)
CreateGame.Leaderboards.Add,Add Leaderboard,,Aggiungi classifica,,,Skor Tablosu Ekle,,Добавить Таблицу Рекордов,,Adicionar Classificação,,,Meow meow
CreateGame.Soundtrack.Title,Soundtrack,,Colonna sonora,,,Oyun Müziği,,Саундтрек,,Trilha Sonora,,,Meow
CreateGame.Soundtrack.Description,The soundtrack of your game for people to listen to when browsing the site (only add songs your team has created),,"La colonna sonora del tuo gioco, ascoltabile quando si sfoglia il sito",,,Sayfayı gezerken insanların dinleyebileceği oyununuzun müzikleri,,"Саундтрек вашей игры, чтобы посетители могли его слушать при просмотре сайта",,A trilha sonora do seu jogo para as pessoas ouvirem enquanto navegam no site (apenas adicione músicas que seu time criou),,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow (meow meow meow meow meow meow meow)
CreateGame.Soundtrack.Add,Add Song,,Aggiungi brano,,,Şarkı Ekle,,Добавить Трек,,Adicionar Música,,,Meow meow
CreateGame.Achievements.Title,Achievements,,Obiettivi,,,Başarımlar,,Достижения,,Conquistas,,,Meow
CreateGame.Achievements.Description,Achievements for people to obtain from goals relating to your game (e.g. find the hidden chicken). Completion is self reported,,Obiettivi che le persone possono ottenere completando sfide legate al tuo gioco (es. trovare la gallina nascosta). Il completamento è segnalato dall'utente,,,İnsanların oyununuzda bazı hedeflere ulaştığını listeleyen kısım (örnek: gizli tavuğu bul). Beyan usulü çalışır,,"Достижения, которые игроки могут получать за выполнение целей в вашей игре (например, найти спрятанную курицу). Завершение указывается самим игроком",,Conquistas para pessoas obterem como objetivos do seu jogo (por exemplo: ache a galinha escondida). Conclusão é autorrelatado,,,Meow meow meow meow meow meow meow meow meow meow meow (meow.meow. Meow meow meow meow). Meow meow meow meow
CreateGame.Achievements.Add,Add Achievement,,Aggiungi obiettivo,,,Başarım Ekle,,Добавить Достижение,,Adicionar Conquista,,,Meow meow
CreateGame.Create.Title,Create,,Crea,,,Yarat,,Создать,,Criar,,,Meow
CreateGame.Create.Success,Game created successfully!,,Gioco creato con successo!,,,Oyun başarıyla yaratıldı!,,Игра успешно создана!,,Jogo criado com sucesso!,,,Meow meow meow!
CreateGame.Create.Error,Failed to create game,,Creazione del gioco non riuscita,,,Oyun yaratılırken bir hata oluştu,,Ошибка создания игры,,Falha ao criar jogo,,,Meow meow meow meow
CreateGame.CreatePublish,Create & Publish,,Crea e Pubblica,,,Yarat & Yayınla,,Создать и Опубликовать,,Criar e Publicar,,,Meow & meow
CreateGame.Publish,Publish,,Pubblica,,,Yayınla,,Опубликовать,,Publicar,,,Meow
CreateGame.Unpublish,Unpublish,,Annulla pubblicazione,,,Yayından Kaldır,,Снять с Публикации,,Cancelar Publicação,,,Meow
CreateGame.Update.Title,Update,,Aggiorna,,,GÜncelle,,Обновить,,Atualizar,,,Meow
CreateGame.Update.Success,Game updated successfully!,,Gioco aggiornato con successo!,,,Oyun başarıyla güncellendi,,Игра успешно обновлена!,,Jogo atualizado com sucesso!,,,Meow meow meow!
CreateGame.Loading.Title,Loading...,,Caricamento...,,,Yükleniyor...,,Загружается...,,Carregando...,,,Meow...
CreateGame.Loading.Description,Loading edit form...,,Caricamento del modulo di modifica...,,,Düzenleme formu yükleniyor...,,Загружается форма редактирования...,,Carregando forma de edição,,,Meow meow meow...
CreateGame.NotLogged,You are not logged in,,Non sei connesso,,,Siteye giriş yapmamışsınız,,Вы не вошли в аккаунт,,Você não entrou em uma conta,,,Meow meow meow meow meow
CreateLeaderboard.Name.Title,Leaderboard Name,,Nome della classifica,,,Skor Tablosu İsmi,,Название Таблицы Рекордов,,Nome da Classificação,,,Meow meow
CreateLeaderboard.Name.Description,"The name that shows for the leaderboard tab. Should describe what the leaderboard is (e.g. any%, death%)",,"Il nome che appare nella scheda della classifica. Dovrebbe descrivere di cosa tratta (es. any%, death%)",,,"Skor tablosu sekmesinde gözükecek isim. Tablonun neyle ilgili olduğunu açıklamalı (örnek: herhangi%, ölüm%)",,"Название, которое отображается на вкладке таблицы рекордов. Должно описывать, что за рекорды в таблице (например: any%, death%)",,"O nome que aparece na aba de classificação. Deve descrever o que a classificação é (por exemplo: qualquer%, morte%)",,,"Meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow (meow.meow. Meow%, meow%)"
CreateLeaderboard.Name.Placeholder,Enter a name,,Inserisci un nome,,,Bir isim girin,,Ввести имя,,Digite um nome,,,Meow meow meow
CreateLeaderboard.UsersPerPage.Title,Users per page,,Utenti per pagina,,,Sayfa başına kullanıcı,,Пользователей на страницу,,Usuários por página,,,Meow meow meow
CreateLeaderboard.UsersPerPage.Description,Users that show on a page of the leaderboard (users past this are paginated and the user needs to go to a different page),,Numero di utenti mostrati in una pagina della classifica (gli altri saranno divisi in pagine successive),,,Tabloda sayfa başına gösterilecek kullanıcı sayısı,,Количество пользователей отображаемых на одной странице таблицы рекордов (остальные будут на следующих страницах и нужно будет переключаться между страницами),,Usuários que uma página da classificação mostra (usuários a mais são mandados para outra página),,,Meow meow meow meow meow meow meow meow meow (meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow)
CreateLeaderboard.Type.Title,Leaderboard Type,,Tipo di classifica,,,Skor Tablosu Tipi,,Тип Таблицы Рекордов,,Tipo de Classificação,,,Meow meow
CreateLeaderboard.Type.Description,"The goal users are ordered by and that the score is formatted as. Determines whether users need to get lowest score, highest score, lowest time, etc.",,"Il criterio secondo cui gli utenti sono ordinati e come viene formattato il punteggio. Determina se bisogna ottenere il punteggio più basso, più alto, il tempo più basso, ecc.",,,Skor tablosunun nasıl sıralandığı ve dizildiği,,"Параметр, по которому сортируются пользователи, и формат отображения рекордов. Определяет, нужно ли получать наименьший счёт, наибольший счёт, минимальное время и т.д.",,"O objetivo que usuários são ordenados e que a pontuação é formatada. Determina se usuários devem ter a menor pontuação, maior pontuação, menor tempo, etc.",,,"Meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow, meow meow, meow meow, meow."
CreateLeaderboard.Decimals.Title,Decimal places,,Decimali,,,Ondalık sayılar,,Знаков после запятой,,Espaços depois da vírgula,,,Meow meow
CreateLeaderboard.Decimals.Description,The amount of decimal places that a score supports,,Numero di cifre decimali supportate dal punteggio,,,Skorun desteklediği ondalık basamak sayısı,,Количество знаков после запятой поддерживаемых рекордами,,A quantidade de espaços depois da vírgula que a pontuação demonstra,,,Meow meow meow meow meow meow meow meow meow
CreateLeaderboard.Advanced.Title,Advanced toggles,,Opzioni avanzate,,,Gelişmiş Seçenekler,,Дополнительные переключатели,,Configurações avançadas,,,Meow meow
CreateLeaderboard.Advanced.Description,Toggles to control more functionality on the leaderboard,,Interruttori per controllare funzionalità aggiuntive della classifica,,,Skor tablosunda daha çok kontrole sahip olmak için seçenekler,,Переключатели для управления дополнительными функциями таблицы рекордов,,Configurações para controlar a funcionalidade da classificação,,,Meow meow meow meow meow meow meow meow
CreateLeaderboard.Highest.Title,Only Highest,,Solo il più alto,,,Sadece En Yüksek,,Только Высочайшие,,Apenas Maiores,,,Meow meow
CreateLeaderboard.Highest.Description,Only shows each users highest score,,Mostra solo il punteggio migliore di ciascun utente,,,Sadece her oyuncunun en yüksek skorunu gösterir,,Только показывать высший рекорд каждого пользователя,,Demonstra apenas a maior pontuação de cada usuário,,,Meow meow meow meow meow meow
GameCategory.Regular.Title,Regular,,Regular,,,Normal,,Regular,,Regular,,,Meow
GameCategory.Regular.Description,The regular jam category,,Categoria standard della jam,,,Normal jam kategorisi,,Обычная категория джема,,A categoria regular do jam,,,Meow meow meow meow
GameCategory.Oda.Title,One Dev Army (O.D.A),,One Dev Army (O.D.A),,,Tek Geliştirici Ordusu (O.D.A),,One Dev Army (O.D.A),,Exército de Um Desenvolvedor (E.U.D),,,Meow meow meow (meow.meow.meow)
GameCategory.Oda.Description,"1 Dev, No third party assets",,"1 sviluppatore, nessun asset di terze parti",,,"Tek geliştirici, üçüncü parti assetler yasak",,"1 Разработчик, никаких ассетов от третьих сторон",,"1 Desenvolvedor, Sem assets de terceiros",,,"Meow meow, meow meow meow meow"
GameCategory.Extra.Title,Extra,,Extra,,,Ekstra,,Extra,,Extra,,,Meow
GameCategory.Extra.Description,Can be submitted during the rating period. Will not be ranked,,Può essere inviato durante il periodo di valutazione. Non sarà incluso nella classifica,,,Oylama sırasında da yüklenebilen oyunlar. Sıralamaya giremez,,Можно подать в Рейтинговый Период. Не будет попадать в рейтинг,,Pode ser enviado durante o período de avaliação. Não será ranqueado,,,Meow meow meow meow meow meow meow. Meow meow meow meow
RatingCategory.Gameplay.Title,Gameplay,,Gameplay,,,Oynanış,,Геймплей,,Gameplay,,,Meow
RatingCategory.Gameplay.Description,"How much you enjoy playing the game, and how satisfying the mechanics are.",,Quanto ti diverte giocare e quanto le meccaniche risultano soddisfacenti,,,Oyunu oynarken ne kadar eğlendiğiniz ve mekaniklerin ne kadar tatmin edici olduğu.,,Насколько вам нравится играть в игру и насколько удовлетворительны её механики.,,"Quanto você se divertiu jogando o jogo, quão satisfatório as mecânicas são.",,,"Meow meow meow meow meow meow meow, meow meow meow meow meow meow."
RatingCategory.Audio.Title,Audio,,Audio,,,Ses,,Аудио,,Aúdio,,,Meow
RatingCategory.Audio.Description,"How good the game sounds, or how effective the sound design is.",,Qualità del suono del gioco e efficacia del design sonoro,,,Oyunun ses kalitesi veya ses tasarımının ne kadar etkili olduğu.,,Насколько хорошо звучит игра и насколько эффективен саунд-дизайн.,,"Quão bom o jogo soa, ou quão efetivo o design do aúdio é.",,,"Meow meow meow meow meow, meow meow meow meow meow meow meow."
RatingCategory.Graphics.Title,Graphics,,Grafica,,,Grafikler,,Графика,,Gráficos,,,Meow
RatingCategory.Graphics.Description,"How good the game looks, and how effective the visual style is.",,Qualità visiva del gioco e efficacia dello stile grafico,,,Oyunun görsel kalitesi ve görsel stilinin ne kadar başarılı olduğu.,,Насколько хорошо выглядит игра и насколько эффективен визуальный стиль.,,"Quão bom o jogo apresenta-se, e quão efetivo seu estilo visual é.",,,"Meow meow meow meow meow, meow meow meow meow meow meow meow."
RatingCategory.Creativity.Title,Creativity,,Creatività,,,Yaratıcılık,,Креативность,,Criatividade,,,Meow
RatingCategory.Creativity.Description,"Uniqueness, Originality, Innovation, and the surprise element.",,"Unicità, originalità, innovazione e fattore sorpresa",,,"Benzersizlik, özgünlük, yenilik ve sürpriz unsuru.",,"Уникальность, оригинальность, новаторство и элемент неожиданности.",,"Peculiaridade, Originalidade, Inovação, e o elemento surpresa.",,,"Meow, meow, meow, meow meow meow meow."
RatingCategory.Emotional.Title,Emotional Delivery,,Impatto emotivo,,,Duygusal Aktarım,,Эмоциональная Подача,,Entrega Emocional,,,Meow meow
RatingCategory.Emotional.Description,How effectively the emotional or humorous elements are delivered.,,Efficacia nel trasmettere elementi emotivi o umoristici,,,"Duygusal(üzüntü,korku,vb...) veya mizahi unsurların ne kadar başarılı bir şekilde aktarıldığı.",,Насколько эффективно переданы эмоциональные или юмористические элементы.,,Quão efetivo os elementos emotivos ou humorísticos são apresentados.,,,Meow meow meow meow meow meow meow meow meow.
RatingCategory.Overall.Title,Overall,,Complessivo,,,Genel,,Общая Оценка,,Geral,,,Meow
RatingCategory.Overall.Description,"Your overall opinion of the game, how well all the categories are sticking together.",,"Opinione generale sul gioco, e quanto bene tutte le categorie si integrano tra loro",,,"Oyunun genel değerlendirmesi, tüm kategorilerin ne kadar iyi bir araya geldiği.",,"Ваше общее мнение о игре, насколько хорошо все категории сочетаются друг с другом.",,"Sua opinião geral sobre o jogo, quão bem as categorias estão integradas em conjunto.",,,"Meow meow meow meow meow meow, meow meow meow meow meow meow meow meow."
RatingCategory.Theme.Title,Theme,,Tema,,,Tema,,Тема,,Tema,,,Meow
